ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
198,Mon Feb 02 16:07:54 GMT+06:00 2026,Mon Feb 02 16:07:54 GMT+06:00 2026,GET,https://amarsolution.xyz/backend/main?-s,301,Moved Permanently,66,438,178
199,Mon Feb 02 16:07:54 GMT+06:00 2026,Mon Feb 02 16:07:54 GMT+06:00 2026,GET,https://amarsolution.xyz/backend/main/api,404,Not Found,146,440,29
200,Mon Feb 02 16:07:54 GMT+06:00 2026,Mon Feb 02 16:07:54 GMT+06:00 2026,GET,https://amarsolution.xyz/vite.svg?-s,200,OK,63,361,1497
201,Mon Feb 02 16:07:54 GMT+06:00 2026,Mon Feb 02 16:07:54 GMT+06:00 2026,GET,https://amarsolution.xyz,200,OK,65,460,524
202,Mon Feb 02 16:07:54 GMT+06:00 2026,Mon Feb 02 16:07:54 GMT+06:00 2026,POST,https://amarsolution.xyz/?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Not Allowed,65,379,568
203,Mon Feb 02 16:07:54 GMT+06:00 2026,Mon Feb 02 16:07:55 GMT+06:00 2026,GET,https://amarsolution.xyz/assets,301,Moved Permanently,75,429,178
204,Mon Feb 02 16:07:54 GMT+06:00 2026,Mon Feb 02 16:07:55 GMT+06:00 2026,POST,https://amarsolution.xyz/?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Not Allowed,75,379,568
205,Mon Feb 02 16:07:55 GMT+06:00 2026,Mon Feb 02 16:07:55 GMT+06:00 2026,POST,https://amarsolution.xyz/assets?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,301,Moved Permanently,66,489,178
206,Mon Feb 02 16:07:55 GMT+06:00 2026,Mon Feb 02 16:07:55 GMT+06:00 2026,POST,https://amarsolution.xyz/assets/index-e46c8535.js?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Not Allowed,77,166,568
207,Mon Feb 02 16:07:54 GMT+06:00 2026,Mon Feb 02 16:07:55 GMT+06:00 2026,POST,https://amarsolution.xyz/?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Not Allowed,218,379,568
